epoch,run,model,feature_family,apbs_variant,checkpoint,postprocess_mode,threshold,top_k_label,top_k,pocket_f1,pocket_precision,pocket_recall,paper_tp,paper_fp,paper_fn,dcc_success_rate_4a,dca_success_rate_4a,mean_best_dcc_angstrom,mean_best_dca_angstrom,mean_best_dvo_all,mean_dvo_of_best_dcc_all,mean_dvo_of_best_dcc_success,mean_predicted_positive_voxels,mean_candidate_count,no_prediction_count,sample_count
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,ResNet3D4LGN,apbs_shape_selected_chem,apbs_full_signed,ResNet3D4LGN_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top_n_plus_2,3,0.7065868263473054,0.5566037735849056,0.9672131147540983,59,47,2,0.5462962962962963,0.8240740740740741,7.364676576391259,5.041405359928939,0.40259367977190574,0.40199742387160087,0.4872608796744865,157.37962962962962,1.4814814814814814,2,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,UNetPlusPlus3D,apbs_shape_selected_chem,apbs_full_signed,UNetPlusPlus3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top3,3,0.7065868263473054,0.5673076923076923,0.9365079365079365,59,45,4,0.5462962962962963,0.7962962962962963,11.325348968144304,9.05391572053724,0.41124790095228586,0.41124790095228586,0.5512890725353619,114.58333333333333,1.2592592592592593,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,UNetPlusPlus3D,apbs_shape_selected_chem,apbs_full_signed,UNetPlusPlus3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top_n_plus_2,3,0.7065868263473054,0.5673076923076923,0.9365079365079365,59,45,4,0.5462962962962963,0.7962962962962963,11.325348968144304,9.05391572053724,0.41124790095228586,0.41124790095228586,0.5512890725353619,114.58333333333333,1.2592592592592593,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,UNetPlusPlus3D,apbs_shape_selected_chem,apbs_full_signed,UNetPlusPlus3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top2,2,0.7065868263473054,0.5673076923076923,0.9365079365079365,59,45,4,0.5462962962962963,0.7962962962962963,11.337957842394175,9.07694877763618,0.41124790095228586,0.41124790095228586,0.5512890725353619,114.58333333333333,1.2314814814814814,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_posneg_clip20,UNet3D4LA,apbs_shape_selected_chem,apbs_posneg_clip20,UNet3D4LA_best_model_in_terms_of_validation_paper_f1.pth,raw,0.45,top2,2,0.7065868263473054,0.5566037735849056,0.9672131147540983,59,47,2,0.5462962962962963,0.7962962962962963,7.726772444868543,5.576221985192391,0.421247983778302,0.421247983778302,0.520290299681887,145.12962962962962,1.3888888888888888,2,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,CBAMUNet3D,apbs_shape_selected_chem,apbs_full_signed,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.6,top3,3,0.7065868263473054,0.5728155339805825,0.921875,59,44,5,0.5462962962962963,0.7962962962962963,10.85607313721479,8.768741692169913,0.3821529110293858,0.3817271011483505,0.4776617888698915,109.26851851851852,1.3518518518518519,5,108
,scpdb_apbs_cutoff_fold1_apbs_shape_selected_chem_apbs_full_signed,CBAMUNet3D,apbs_shape_selected_chem,apbs_full_signed,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.6,top_n_plus_2,3,0.7065868263473054,0.5728155339805825,0.921875,59,44,5,0.5462962962962963,0.7962962962962963,10.85607313721479,8.768741692169913,0.3821529110293858,0.3817271011483505,0.4776617888698915,109.26851851851852,1.3518518518518519,5,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,UNet3D4LA,apbs_shape,apbs_clip20_minmax,UNet3D4LA_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top3,3,0.7065868263473054,0.5784313725490197,0.9076923076923077,59,43,6,0.5462962962962963,0.7407407407407407,12.2680719054847,10.236506174779462,0.38728369104435223,0.38728369104435223,0.5068005807816764,133.19444444444446,1.2222222222222223,6,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,UNet3D4LA,apbs_shape,apbs_clip20_minmax,UNet3D4LA_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top_n_plus_2,3,0.7065868263473054,0.5784313725490197,0.9076923076923077,59,43,6,0.5462962962962963,0.7407407407407407,12.2680719054847,10.236506174779462,0.38728369104435223,0.38728369104435223,0.5068005807816764,133.19444444444446,1.2222222222222223,6,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,UNet3D4LA,apbs_shape,apbs_clip20_minmax,UNet3D4LA_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top2,2,0.7065868263473054,0.5784313725490197,0.9076923076923077,59,43,6,0.5462962962962963,0.7407407407407407,12.352279282624249,10.340162189227287,0.3863577651184264,0.3863577651184264,0.5068005807816764,133.19444444444446,1.2037037037037037,6,108
